BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1256,020700001001256,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1026,020700002001026,103.0,,,,272.1893734600527,276.448244167896,268.4033320650141
1175,020700001001175,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1120,020700001001120,103.0,,,,272.5422756077457,276.776484193717,268.7221783943579
1086,020700001001086,103.0,,,,270.2930241564767,273.91544583510904,267.26743021181534
1141,020700001001141,103.0,,,,271.1869897554282,274.74293921431365,267.89204346803245
1009,020700002001009,103.0,,,,271.9049659198299,275.9421443980227,268.2720567576395
1228,020700001001228,103.0,,,,272.44837315877277,276.68051986694337,268.77975006103514
1238,020700001001238,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1039,020700002001039,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1000,020700002001000,103.0,,,,271.9397860347522,276.01228244119784,268.28727556838413
1236,020700001001236,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1239,020700001001239,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1224,020700001001224,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1231,020700001001231,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1266,020700001001266,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1145,020700001001145,103.0,,,,271.2431972205366,274.91450082986165,267.8345833240856
1272,020700001001272,103.0,,,,270.5950406392416,274.4837951660156,267.2441604614258
1014,020700002001014,103.0,,,,272.2056502366503,276.4562307106538,268.4398081847425
1177,020700001001177,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1008,020700002001008,103.0,,,,271.9435958954225,276.05233608383725,268.27897013468913
1135,020700001001135,103.0,,,,271.16147385739055,274.7876732036884,267.7795496967023
1132,020700001001132,103.0,,,,271.1619758605957,274.7921615600586,267.77559356689454
1244,020700001001244,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1007,020700002001007,103.0,,,,271.90222651163737,275.93690338134763,268.2708023071289
1037,020700002001037,103.0,,,,271.90222651163737,275.93690338134763,268.2708023071289
1069,020700001001069,103.0,,,,271.51782759238114,275.42465323123815,267.88037550140723
1006,020700002001006,103.0,,,,272.0099896603678,276.20196048025616,268.30106206918174
1118,020700001001118,103.0,,,,272.13057506037404,276.02365957529156,268.94925102401413
1229,020700001001229,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1247,020700001001247,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1222,020700001001222,103.0,,,,272.44837315877277,276.68051986694337,268.77975006103514
1130,020700001001130,103.0,,,,272.7449836730957,277.071533203125,268.89544067382815
1009,020700001001009,103.0,,,,271.14584754026214,274.64795999207956,267.9026958008407
1133,020700001001133,103.0,,,,271.1619758605957,274.7921615600586,267.77559356689454
1016,020700002001016,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1025,020700002001025,103.0,,,,272.0399278843657,276.1816007898209,268.3394287109375
1271,020700001001271,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1230,020700001001230,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1174,020700001001174,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1250,020700001001250,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1255,020700001001255,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1179,020700001001179,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1017,020700002001017,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1002,020700002001002,103.0,,,,271.72602930524505,275.6882703736664,268.15180661781267
1243,020700001001243,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1027,020700002001027,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1122,020700001001122,103.0,,,,272.34471572583476,276.5740048134785,268.78316231073813
1020,020700002001020,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1028,020700002001028,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1197,020700001001197,103.0,,,,271.5063160964149,275.41450695980086,267.87241989154035
1225,020700001001225,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
